instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_day,atemp_day,hum_day,windspeed_day,casual,registered,cnt_day,hr,temp_hour,atemp_hour,hum_hour,windspeed_hour,cnt_hour
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,4,0.46,0.4545,0.94,0.194,3.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,7,0.4,0.4091,0.76,0.194,1.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,9,0.38,0.3939,0.76,0.2239,20.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,10,0.36,0.3485,0.81,0.2239,53.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,11,0.36,0.3333,0.71,0.2537,70.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,12,0.36,0.3333,0.66,0.2985,93.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,13,0.36,0.3485,0.66,0.1343,75.0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,18,0.36,0.3333,0.46,0.3284,53.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0,0.22,0.197,0.44,0.3582,5.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1,0.2,0.1667,0.44,0.4179,2.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,4,0.16,0.1364,0.47,0.3881,1.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,5,0.16,0.1364,0.47,0.2836,3.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,6,0.14,0.1061,0.5,0.3881,30.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,7,0.14,0.1364,0.5,0.194,64.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,8,0.14,0.1212,0.5,0.2836,154.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,9,0.16,0.1364,0.43,0.3881,88.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,10,0.18,0.1667,0.43,0.2537,44.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,11,0.2,0.1818,0.4,0.3284,51.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,12,0.22,0.2121,0.35,0.2985,61.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,13,0.24,0.2121,0.35,0.2836,61.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,14,0.26,0.2424,0.3,0.2836,77.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,15,0.26,0.2424,0.3,0.2537,72.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,16,0.26,0.2424,0.3,0.2537,76.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,17,0.24,0.2273,0.3,0.2239,157.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,18,0.24,0.2576,0.32,0.1045,157.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,19,0.2,0.2576,0.47,0.0,110.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,20,0.2,0.2273,0.47,0.1045,52.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,21,0.18,0.197,0.64,0.1343,52.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,22,0.14,0.1515,0.69,0.1343,20.0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,23,0.18,0.2121,0.55,0.1045,12.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0,0.16,0.1818,0.55,0.1045,5.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1,0.16,0.1818,0.59,0.1045,2.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,0.14,0.1515,0.63,0.1343,1.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,4,0.14,0.1818,0.63,0.0896,2.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,5,0.12,0.1515,0.68,0.1045,4.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,6,0.12,0.1515,0.74,0.1045,36.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,7,0.12,0.1515,0.74,0.1343,94.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,8,0.14,0.1515,0.69,0.1642,179.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,9,0.16,0.1515,0.64,0.2239,100.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,11,0.22,0.2121,0.51,0.2985,57.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,12,0.22,0.2273,0.51,0.1642,78.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,13,0.24,0.2273,0.56,0.194,97.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,14,0.26,0.2576,0.52,0.2239,63.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,15,0.28,0.2727,0.52,0.2537,65.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,16,0.3,0.2879,0.49,0.2537,83.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,17,0.28,0.2727,0.48,0.2239,212.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,18,0.26,0.2576,0.48,0.194,182.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,19,0.24,0.2576,0.48,0.1045,112.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,20,0.24,0.2576,0.48,0.1045,54.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,21,0.22,0.2727,0.64,0.0,48.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,22,0.22,0.2576,0.64,0.0896,35.0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,23,0.2,0.2273,0.69,0.0896,11.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0,0.2,0.2576,0.64,0.0,6.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1,0.16,0.197,0.74,0.0896,6.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2,0.16,0.197,0.74,0.0896,2.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,4,0.24,0.2273,0.48,0.2239,2.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,5,0.22,0.2273,0.47,0.1642,3.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,6,0.2,0.197,0.47,0.2239,33.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,7,0.18,0.1818,0.43,0.194,88.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,8,0.2,0.1818,0.4,0.2985,195.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,9,0.22,0.197,0.37,0.3284,115.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,10,0.22,0.197,0.37,0.3284,57.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,11,0.26,0.2273,0.33,0.3284,46.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,12,0.26,0.2273,0.33,0.3284,79.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,13,0.28,0.2576,0.3,0.2985,71.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,14,0.3,0.2879,0.28,0.194,62.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,15,0.3,0.2879,0.28,0.194,62.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,16,0.3,0.3182,0.28,0.0896,89.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,17,0.24,0.2273,0.38,0.194,190.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,18,0.24,0.2424,0.38,0.1343,169.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,19,0.24,0.2576,0.38,0.1045,132.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,20,0.22,0.2273,0.47,0.1642,89.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,21,0.2,0.197,0.51,0.194,43.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,22,0.18,0.197,0.55,0.1343,42.0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,23,0.2,0.2576,0.47,0.0,19.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0,0.18,0.2424,0.55,0.0,11.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1,0.16,0.2273,0.64,0.0,4.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2,0.16,0.2273,0.64,0.0,2.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,8,0.16,0.2273,0.59,0.0,219.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,10,0.2,0.2576,0.47,0.0,45.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,11,0.22,0.2576,0.44,0.0896,59.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,12,0.26,0.2879,0.35,0.0,84.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,13,0.26,0.2727,0.35,0.1045,67.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,14,0.28,0.2727,0.36,0.1642,70.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,15,0.28,0.2727,0.36,0.0,62.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,16,0.26,0.2576,0.38,0.1642,86.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,17,0.22,0.2273,0.51,0.1642,172.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,18,0.22,0.2273,0.51,0.1343,163.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,19,0.22,0.2576,0.55,0.0896,112.0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,20,0.2,0.2121,0.51,0.1642,69.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0,0.2,0.197,0.64,0.194,17.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1,0.2,0.197,0.69,0.2239,7.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2,0.2,0.197,0.69,0.2239,1.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,4,0.2,0.2121,0.69,0.1343,1.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,6,0.2,0.2576,0.69,0.0,34.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,11,0.2,0.197,0.4,0.2239,67.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,12,0.2,0.197,0.37,0.2537,59.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,13,0.2,0.1818,0.37,0.2836,73.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,14,0.2,0.197,0.4,0.2537,50.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,15,0.2,0.2121,0.37,0.1642,72.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,16,0.2,0.2121,0.37,0.1642,87.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,17,0.2,0.2576,0.37,0.0,187.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,22,0.18,0.197,0.43,0.1642,36.0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,23,0.18,0.197,0.51,0.1642,15.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0,0.18,0.197,0.51,0.1642,25.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1,0.18,0.2121,0.55,0.0896,16.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,2,0.18,0.2424,0.55,0.0,16.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,5,0.16,0.1667,0.74,0.1642,5.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,6,0.16,0.1667,0.74,0.1642,2.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,7,0.16,0.1818,0.74,0.1045,9.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,10,0.18,0.197,0.8,0.1642,61.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,11,0.2,0.1818,0.69,0.3881,62.0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,12,0.2,0.1818,0.59,0.3582,98.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0,0.1,0.0758,0.42,0.3881,25.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,1,0.1,0.0606,0.42,0.4627,12.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,2,0.1,0.0606,0.46,0.4627,11.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,3,0.1,0.0758,0.46,0.4179,4.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,4,0.08,0.0909,0.53,0.194,1.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,5,0.08,0.0909,0.53,0.194,1.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,6,0.1,0.0909,0.49,0.2836,1.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,7,0.08,0.0909,0.53,0.194,6.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,8,0.1,0.0909,0.49,0.2836,10.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,9,0.12,0.0758,0.46,0.5224,19.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,10,0.14,0.1061,0.43,0.3881,49.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,11,0.16,0.1212,0.4,0.5224,49.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,12,0.18,0.1364,0.37,0.4478,83.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,13,0.2,0.1667,0.34,0.4478,75.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,14,0.22,0.1818,0.32,0.4627,72.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,15,0.22,0.197,0.35,0.3582,82.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,16,0.2,0.1667,0.34,0.4478,92.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,17,0.18,0.1515,0.37,0.3881,62.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,18,0.16,0.1364,0.4,0.3284,48.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,19,0.16,0.1364,0.43,0.3284,41.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,20,0.14,0.1212,0.46,0.2537,38.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,21,0.14,0.1061,0.46,0.4179,20.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,22,0.14,0.1212,0.46,0.2985,15.0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,23,0.12,0.1364,0.5,0.194,6.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0,0.12,0.1212,0.5,0.2836,5.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1,0.12,0.1212,0.5,0.2836,1.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,2,0.12,0.1212,0.5,0.2239,3.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,3,0.12,0.1212,0.5,0.2239,1.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,4,0.1,0.1212,0.54,0.1343,3.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,5,0.1,0.1061,0.54,0.2537,3.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,6,0.12,0.1212,0.5,0.2836,31.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,7,0.12,0.1212,0.5,0.2239,77.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,16,0.2,0.2121,0.4,0.1343,74.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,17,0.2,0.2273,0.4,0.1045,178.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,18,0.2,0.197,0.4,0.2239,155.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,19,0.16,0.1667,0.47,0.1642,95.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,20,0.16,0.1667,0.5,0.1642,74.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,21,0.14,0.1364,0.59,0.194,38.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,22,0.14,0.1515,0.59,0.1642,24.0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,23,0.14,0.1515,0.59,0.1642,18.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,2,0.16,0.1515,0.55,0.194,3.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,5,0.16,0.1818,0.55,0.1343,6.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,6,0.16,0.1818,0.55,0.1343,27.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,7,0.16,0.2273,0.55,0.0,99.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,8,0.18,0.2121,0.51,0.0896,217.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,9,0.18,0.197,0.51,0.1642,130.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,10,0.2,0.2121,0.51,0.1642,54.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,11,0.2,0.2121,0.47,0.1343,35.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,12,0.2,0.2273,0.51,0.1045,57.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,13,0.2,0.2273,0.59,0.0896,52.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,14,0.2,0.2273,0.59,0.0896,63.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,15,0.16,0.197,0.8,0.0896,47.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,16,0.16,0.1515,0.86,0.2239,76.0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,17,0.16,0.1515,0.86,0.2239,136.0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,2,0.14,0.1515,0.86,0.1343,1.0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,5,0.14,0.1515,0.86,0.1642,5.0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,6,0.12,0.1515,0.93,0.1343,16.0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,7,0.14,0.1515,0.69,0.1343,54.0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,8,0.16,0.1667,0.59,0.1642,128.0
